ISO3,name,isInboundRestricted,isInboundLandRestricted,isInboundCompletelyRestricted,inboundRestrictedCountryNamesRaw
AFG,Afghanistan,FALSE,,,
ALB,Albania,TRUE,TRUE,TRUE,
DZA,Algeria,TRUE,FALSE,FALSE,"Europe,Morocco,Spain,France,China"
AND,Andorra,FALSE,,,
AGO,Angola,TRUE,TRUE,TRUE,
ATG,Antigua and Barbuda,TRUE,FALSE,FALSE,"China, Italy, Iran, Japan, South Korea, Singapore"
ARG,Argentina,TRUE,TRUE,TRUE,
ARM,Armenia,FALSE,,,
AUS,Australia,TRUE,FALSE,TRUE,
AUT,Austria,TRUE,TRUE,FALSE,NotEurope
AZE,Azerbaijan,FALSE,,,
BHS,Bahamas,FALSE,,,
BHR,Bahrain,TRUE,,,
BGD,Bangladesh,TRUE,,,
BRB,Barbados,FALSE,,,
BLR,Belarus,FALSE,,,
BEL,Belgium,FALSE,,,
BLZ,Belize,TRUE,TRUE,,
BEN,Benin,FALSE,,,
BTN,Bhutan,FALSE,,,
BOL,Bolivia,TRUE,FALSE,FALSE,"Europe,United Kingdom,Ireland,Iran,Spain,China,South Korea,Italy"
BIH,Bosnia and Herzegovina,FALSE,,,
BWA,Botswana,FALSE,,,
BRA,Brazil,TRUE,TRUE,FALSE,
BRN,Brunei,FALSE,,,
BGR,Bulgaria,TRUE,TRUE,FALSE,"Turkey,Italy,Spain"
BFA,Burkina Faso,FALSE,,,
BDI,Burundi,FALSE,,,
KHM,Cambodia,TRUE,FALSE,FALSE,"Italy,Germany,Spain,France,Iran,United States"
CMR,Cameroon,TRUE,TRUE,TRUE,
CAN,Canada,TRUE,TRUE,FALSE,NotUS
CPV,Cape Verde,FALSE,,,
CAF,Central African Republic,FALSE,,,
TCD,Chad,FALSE,,,
CHL,Chile,TRUE,TRUE,TRUE,
CHN,China,TRUE,,,
COL,Colombia,TRUE,TRUE,TRUE,
COM,Comoros,FALSE,,,
COG,Congo,FALSE,,,
COD,Republic of Congo,TRUE,TRUE,TRUE,
CRI,Costa Rica,TRUE,TRUE,TRUE,
CIV,Ivory Coast,FALSE,,,
HRV,Croatia,TRUE,FALSE,FALSE,
CUB,Cuba,FALSE,,,
CYP,Cyprus,TRUE,TRUE,FALSE,NotEurope
CZE,Czech Republic,TRUE,TRUE,FALSE,"Germany,Austria,Italy,Sweden,France,Netherlands,Belgium,Spain,Denmark,United Kingdom,Switzerland,Norway,China,South Korea,Iran"
DNK,Denmark,TRUE,TRUE,TRUE,
DJI,Djibouti,TRUE,FALSE,TRUE,
DMA,Dominica,FALSE,,,
DOM,Dominican Republic,TRUE,FALSE,FALSE,Europe
ECU,Ecuador,TRUE,TRUE,TRUE,
EGY,Egypt,TRUE,FALSE,TRUE ,
SLV,El Salvador,TRUE,TRUE,TRUE,
GNQ,Equatorial Guinea,FALSE,,,
ERI,Eritrea,FALSE,,,
EST,Estonia,FALSE,,,
ETH,Ethiopia,TRUE,FALSE,FALSE,
FJI,Fiji,FALSE,,,
FIN,Finland,TRUE,FALSE,FALSE,
FRA,France,TRUE,TRUE,TRUE,
GAB,Gabon,FALSE,,,
GMB,Gambia,FALSE,,,
GEO,Georgia,TRUE,TRUE,TRUE,
